Datetime,USD/CNY
2021/6/7,6.3963
2021/6/8,6.3909
2021/6/9,6.3956
2021/6/10,6.3972
2021/6/11,6.3856
2021/6/15,6.407
2021/6/16,6.4078
2021/6/17,6.4298
2021/6/18,6.4361
2021/6/21,6.4546
2021/6/22,6.4613
2021/6/23,6.4621
2021/6/24,6.4824
2021/6/25,6.4744
2021/6/28,6.4578
2021/6/29,6.4567
2021/6/30,6.4601
2021/7/1,6.4709
2021/7/2,6.4712
2021/7/5,6.4695
2021/7/6,6.4613
2021/7/7,6.4762
2021/7/8,6.4705
2021/7/9,6.4755
2021/7/12,6.4785
2021/7/13,6.4757
2021/7/14,6.4806
2021/7/15,6.464
2021/7/16,6.4705
2021/7/19,6.47
2021/7/20,6.4855
2021/7/21,6.4835
2021/7/22,6.4651
2021/7/23,6.465
2021/7/26,6.4763
2021/7/27,6.4734
2021/7/28,6.4929
2021/7/29,6.4942
2021/7/30,6.4602
2021/8/2,6.466
2021/8/3,6.461
2021/8/4,6.4655
2021/8/5,6.4691
2021/8/6,6.4625
2021/8/9,6.484
2021/8/10,6.4842
2021/8/11,6.4831
2021/8/12,6.4754
2021/8/13,6.4799
2021/8/16,6.4717
2021/8/17,6.4765
2021/8/18,6.4915
2021/8/19,6.4853
2021/8/20,6.4984
2021/8/23,6.4969
2021/8/24,6.4805
2021/8/25,6.4728
2021/8/26,6.473
2021/8/27,6.4863
2021/8/30,6.4677
2021/8/31,6.4679
2021/9/1,6.468
2021/9/2,6.4594
2021/9/3,6.4577
2021/9/6,6.4529
2021/9/7,6.4533
2021/9/8,6.4674
2021/9/9,6.4615
2021/9/10,6.4566
2021/9/13,6.4497
2021/9/14,6.45
2021/9/15,6.4492
2021/9/16,6.433
2021/9/17,6.4527
2021/9/22,6.4693
2021/9/23,6.4749
2021/9/24,6.4599
2021/9/27,6.4695
2021/9/28,6.4608
2021/9/29,6.4662
2021/9/30,6.4854
2021/10/8,6.4604
2021/10/11,6.4479
2021/10/12,6.4447
2021/10/13,6.4612
2021/10/14,6.4414
2021/10/15,6.4386
2021/10/18,6.43
2021/10/19,6.4307
2021/10/20,6.4069
2021/10/21,6.389
2021/10/22,6.4032
2021/10/25,6.3924
2021/10/26,6.389
2021/10/27,6.3856
2021/10/28,6.3957
2021/10/29,6.3907
2021/11/1,6.4192
2021/11/2,6.4009
2021/11/3,6.4079
2021/11/4,6.3943
2021/11/5,6.398
2021/11/8,6.3959
2021/11/9,6.3903
2021/11/10,6.3948
2021/11/11,6.4145
2021/11/12,6.4065
2021/11/15,6.3896
2021/11/16,6.3924
2021/11/17,6.3935
2021/11/18,6.3803
2021/11/19,6.3825
2021/11/22,6.3952
2021/11/23,6.3929
2021/11/24,6.3903
2021/11/25,6.398
2021/11/26,6.3936
2021/11/29,6.3872
2021/11/30,6.3794
2021/12/1,6.3693
2021/12/2,6.3719
2021/12/3,6.3738
2021/12/6,6.3702
2021/12/7,6.3738
2021/12/8,6.3677
2021/12/9,6.3498
2021/12/10,6.3702
2021/12/13,6.3669
2021/12/14,6.3675
2021/12/15,6.3716
2021/12/16,6.3637
2021/12/17,6.3651
2021/12/20,6.3933
2021/12/21,6.3729
2021/12/22,6.3703
2021/12/23,6.3651
2021/12/24,6.3692
2021/12/27,6.3686
2021/12/28,6.3728
