time_s,T_center,T_surface,C_center,C_surface
268,28.0250,28.7069,2.5500,2.0761
269,28.0254,28.7110,2.5500,2.0753
270,28.0259,28.7152,2.5500,2.0745
271,28.0263,28.7194,2.5500,2.0737
272,28.0267,28.7236,2.5500,2.0730
273,28.0272,28.7279,2.5500,2.0722
274,28.0276,28.7321,2.5500,2.0714
275,28.0281,28.7364,2.5500,2.0706
276,28.0285,28.7407,2.5500,2.0698
277,28.0290,28.7450,2.5500,2.0691
278,28.0294,28.7493,2.5500,2.0683
279,28.0299,28.7537,2.5500,2.0675
280,28.0304,28.7581,2.5500,2.0668
281,28.0309,28.7624,2.5500,2.0660
282,28.0313,28.7668,2.5500,2.0652
283,28.0318,28.7713,2.5500,2.0645
284,28.0323,28.7757,2.5500,2.0637
285,28.0328,28.7801,2.5500,2.0629
286,28.0333,28.7846,2.5500,2.0622
287,28.0338,28.7891,2.5500,2.0614
288,28.0343,28.7936,2.5500,2.0606
289,28.0349,28.7981,2.5500,2.0599
290,28.0354,28.8026,2.5500,2.0591
291,28.0359,28.8072,2.5500,2.0584
292,28.0364,28.8117,2.5500,2.0576
293,28.0370,28.8163,2.5500,2.0569
294,28.0375,28.8209,2.5500,2.0561
295,28.0380,28.8255,2.5500,2.0554
296,28.0386,28.8301,2.5500,2.0546
297,28.0391,28.8348,2.5500,2.0539
298,28.0397,28.8394,2.5500,2.0532
299,28.0403,28.8441,2.5500,2.0524
300,28.0408,28.8488,2.5500,2.0517
301,28.0414,28.8533,2.5500,2.0510
302,28.0420,28.8578,2.5500,2.0502
303,28.0426,28.8623,2.5500,2.0495
304,28.0432,28.8667,2.5500,2.0488
305,28.0437,28.8711,2.5500,2.0480
306,28.0443,28.8754,2.5500,2.0473
307,28.0449,28.8797,2.5500,2.0466
308,28.0455,28.8840,2.5500,2.0458
309,28.0462,28.8883,2.5500,2.0451
310,28.0468,28.8926,2.5500,2.0444
311,28.0474,28.8969,2.5500,2.0437
312,28.0480,28.9011,2.5500,2.0429
313,28.0486,28.9054,2.5500,2.0422
314,28.0493,28.9096,2.5500,2.0415
315,28.0499,28.9139,2.5500,2.0408
316,28.0506,28.9181,2.5500,2.0401
317,28.0512,28.9223,2.5500,2.0394
318,28.0519,28.9265,2.5500,2.0387
319,28.0525,28.9307,2.5500,2.0379
320,28.0532,28.9349,2.5500,2.0372
321,28.0538,28.9391,2.5500,2.0365
322,28.0545,28.9432,2.5500,2.0358
323,28.0552,28.9474,2.5500,2.0351
324,28.0559,28.9516,2.5500,2.0344
325,28.0566,28.9558,2.5500,2.0337
326,28.0573,28.9599,2.5500,2.0330
327,28.0579,28.9641,2.5500,2.0323
328,28.0587,28.9682,2.5500,2.0316
329,28.0594,28.9724,2.5500,2.0309
330,28.0601,28.9765,2.5500,2.0302
331,28.0608,28.9807,2.5500,2.0295
332,28.0615,28.9848,2.5500,2.0288
333,28.0622,28.9890,2.5500,2.0281
334,28.0630,28.9931,2.5500,2.0275
335,28.0637,28.9973,2.5500,2.0268
336,28.0644,29.0014,2.5500,2.0261
337,28.0652,29.0055,2.5500,2.0254
338,28.0659,29.0097,2.5500,2.0247
339,28.0667,29.0138,2.5500,2.0240
340,28.0674,29.0179,2.5500,2.0233
341,28.0682,29.0221,2.5500,2.0227
342,28.0690,29.0262,2.5500,2.0220
343,28.0698,29.0303,2.5500,2.0213
344,28.0705,29.0345,2.5500,2.0206
345,28.0713,29.0386,2.5500,2.0200
346,28.0721,29.0427,2.5500,2.0193
347,28.0729,29.0469,2.5500,2.0186
348,28.0737,29.0510,2.5500,2.0179
349,28.0745,29.0551,2.5500,2.0173
350,28.0753,29.0593,2.5500,2.0166
351,28.0761,29.0634,2.5500,2.0159
352,28.0770,29.0675,2.5500,2.0153
353,28.0778,29.0716,2.5500,2.0146
354,28.0786,29.0758,2.5500,2.0139
355,28.0795,29.0799,2.5500,2.0133
356,28.0803,29.0840,2.5500,2.0126
357,28.0811,29.0882,2.5500,2.0119
358,28.0820,29.0923,2.5500,2.0113
359,28.0828,29.0964,2.5500,2.0106
360,28.0837,29.1006,2.5500,2.0100
361,28.0846,29.1047,2.5500,2.0093
362,28.0855,29.1089,2.5500,2.0086
363,28.0863,29.1131,2.5500,2.0080
364,28.0872,29.1173,2.5500,2.0073
365,28.0881,29.1215,2.5500,2.0067
366,28.0890,29.1257,2.5500,2.0060
367,28.0899,29.1299,2.5500,2.0054
368,28.0908,29.1342,2.5500,2.0047
369,28.0917,29.1384,2.5500,2.0041
370,28.0926,29.1427,2.5500,2.0034
371,28.0935,29.1469,2.5500,2.0028
372,28.0945,29.1512,2.5500,2.0021
373,28.0954,29.1554,2.5500,2.0015
374,28.0963,29.1597,2.5500,2.0009
375,28.0973,29.1640,2.5500,2.0002
376,28.0982,29.1683,2.5500,1.9996
377,28.0992,29.1726,2.5500,1.9989
378,28.1001,29.1769,2.5500,1.9983
379,28.1011,29.1812,2.5500,1.9977
380,28.1021,29.1855,2.5500,1.9970
