t_h,dT_K
9.4833,-0.013695
9.5000,-0.013648
9.5167,-0.013599
9.5333,-0.013551
9.5500,-0.013502
9.5667,-0.013455
9.5833,-0.013407
9.6000,-0.013360
9.6167,-0.013313
9.6333,-0.013266
9.6500,-0.013220
9.6667,-0.013173
9.6833,-0.013126
9.7000,-0.013079
9.7167,-0.013034
9.7333,-0.012988
9.7500,-0.012942
9.7667,-0.012896
9.7833,-0.012850
9.8000,-0.012805
9.8167,-0.012760
9.8333,-0.012716
9.8500,-0.012671
9.8667,-0.012626
9.8833,-0.012581
9.9000,-0.012537
9.9167,-0.012492
9.9333,-0.012449
9.9500,-0.012405
9.9667,-0.012362
9.9833,-0.012318
10.0000,-0.012275
10.0167,-0.012231
10.0333,-0.012187
10.0500,-0.012145
10.0667,-0.012101
10.0833,-0.012059
10.1000,-0.012016
10.1167,-0.011973
10.1333,-0.011931
10.1500,-0.011889
10.1667,-0.011846
10.1833,-0.011805
10.2000,-0.011763
10.2167,-0.011722
10.2333,-0.011680
10.2500,-0.011638
10.2667,-0.011598
10.2833,-0.011557
10.3000,-0.011516
10.3167,-0.011475
10.3333,-0.011434
10.3500,-0.011394
10.3667,-0.011354
10.3833,-0.011314
10.4000,-0.011274
10.4167,-0.011234
10.4333,-0.011195
10.4500,-0.011155
10.4667,-0.011116
10.4833,-0.011077
10.5000,-0.011038
10.5167,-0.010998
10.5333,-0.010959
10.5500,-0.010921
10.5667,-0.010882
10.5833,-0.010843
10.6000,-0.010805
10.6167,-0.010766
10.6333,-0.010728
10.6500,-0.010690
10.6667,-0.010653
10.6833,-0.010615
10.7000,-0.010577
10.7167,-0.010540
10.7333,-0.010503
10.7500,-0.010465
10.7667,-0.010429
10.7833,-0.010391
10.8000,-0.010355
10.8167,-0.010318
10.8333,-0.010282
10.8500,-0.010245
10.8667,-0.010210
10.8833,-0.010174
10.9000,-0.010138
10.9167,-0.010102
10.9333,-0.010067
10.9500,-0.010031
10.9667,-0.009996
10.9833,-0.009961
11.0000,-0.009926
11.0167,-0.009891
11.0333,-0.009857
11.0500,-0.009822
11.0667,-0.009789
11.0833,-0.009754
11.1000,-0.009720
11.1167,-0.009686
11.1333,-0.009653
11.1500,-0.009619
11.1667,-0.009586
11.1833,-0.009552
11.2000,-0.009519
11.2167,-0.009486
11.2333,-0.009453
11.2500,-0.009420
11.2667,-0.009388
11.2833,-0.009355
11.3000,-0.009323
11.3167,-0.009290
11.3333,-0.009257
11.3500,-0.009226
11.3667,-0.009194
11.3833,-0.009161
11.4000,-0.009130
11.4167,-0.009098
11.4333,-0.009067
11.4500,-0.009036
11.4667,-0.009005
11.4833,-0.008973
11.5000,-0.008942
11.5167,-0.008911
11.5333,-0.008879
11.5500,-0.008849
11.5667,-0.008817
11.5833,-0.008787
11.6000,-0.008755
11.6167,-0.008724
11.6333,-0.008694
11.6500,-0.008664
11.6667,-0.008634
11.6833,-0.008603
11.7000,-0.008573
11.7167,-0.008543
11.7333,-0.008514
11.7500,-0.008484
11.7667,-0.008455
11.7833,-0.008425
11.8000,-0.008395
11.8167,-0.008366
11.8333,-0.008337
11.8500,-0.008308
11.8667,-0.008279
11.8833,-0.008250
11.9000,-0.008222
11.9167,-0.008193
11.9333,-0.008165
11.9500,-0.008136
11.9667,-0.008108
11.9833,-0.008080
12.0000,-0.008052
12.0167,-0.008024
12.0333,-0.007996
12.0500,-0.007968
12.0667,-0.007940
12.0833,-0.007913
