t_s,h_next_s
71.749738,0.003928
71.962345,0.003947
72.176001,0.003966
72.390699,0.003986
72.606437,0.004005
72.823211,0.004024
73.041008,0.004043
73.259827,0.004062
73.479662,0.004081
73.700512,0.004099
73.922369,0.004118
74.145227,0.004136
74.369078,0.004155
74.593920,0.004173
74.819748,0.004191
75.046565,0.004210
75.274357,0.004228
75.503124,0.004245
75.732844,0.004263
75.963478,0.004280
76.195027,0.004297
76.427486,0.004313
76.660853,0.004330
76.895119,0.004347
77.130286,0.004363
77.366352,0.004380
77.603312,0.004396
77.841164,0.004413
78.079902,0.004429
78.319530,0.004446
78.560043,0.004462
78.801436,0.004479
79.043710,0.004495
79.286864,0.004511
79.530895,0.004528
79.775801,0.004544
80.021572,0.004560
80.268215,0.004576
80.515725,0.004592
80.764106,0.004608
81.013345,0.004624
81.263448,0.004639
81.514411,0.004656
81.766233,0.004671
82.018914,0.004688
82.272449,0.004703
82.526838,0.004719
82.782082,0.004735
83.038164,0.004750
83.295061,0.004765
83.552766,0.004780
83.811282,0.004795
84.070603,0.004810
84.330733,0.004825
84.591671,0.004840
84.853413,0.004855
85.115960,0.004870
85.379309,0.004885
85.643464,0.004899
85.908416,0.004914
86.174172,0.004929
86.440729,0.004943
86.708084,0.004958
86.976238,0.004974
87.245191,0.004989
87.514942,0.005003
87.785492,0.005018
88.056839,0.005033
88.328980,0.005047
88.601915,0.005062
88.875646,0.005076
89.150176,0.005091
89.425495,0.005106
89.701613,0.005121
89.978523,0.005135
90.256226,0.005150
90.534724,0.005165
90.814010,0.005179
91.094094,0.005194
91.374962,0.005209
91.656598,0.005223
91.938990,0.005237
92.222143,0.005251
92.506055,0.005265
92.790727,0.005279
93.076158,0.005293
93.362347,0.005307
93.649294,0.005321
93.937001,0.005335
94.225461,0.005349
94.514683,0.005363
94.804666,0.005377
95.095409,0.005391
95.386909,0.005405
95.679168,0.005419
95.972185,0.005433
96.265961,0.005447
96.560494,0.005461
96.855785,0.005475
97.151837,0.005489
97.448649,0.005504
97.746221,0.005518
98.044553,0.005532
98.343643,0.005546
98.643493,0.005560
98.944101,0.005574
99.245472,0.005588
99.547602,0.005602
99.850486,0.005616
100.154135,0.005631
100.458547,0.005644
100.763713,0.005659
101.069630,0.005672
101.376287,0.005685
101.683674,0.005699
101.991796,0.005713
102.300653,0.005727
102.610245,0.005740
102.920572,0.005754
103.231632,0.005767
103.543430,0.005781
103.855964,0.005795
104.169235,0.005808
104.483243,0.005822
104.797983,0.005835
105.113462,0.005849
105.429679,0.005863
105.746635,0.005876
106.064331,0.005890
106.382763,0.005904
106.701936,0.005918
107.021852,0.005931
107.342507,0.005945
107.663903,0.005958
107.986041,0.005972
108.308920,0.005986
108.632541,0.006000
108.956902,0.006014
109.282005,0.006027
109.607853,0.006041
109.934447,0.006055
110.261783,0.006069
110.589862,0.006082
110.918686,0.006097
111.248255,0.006110
111.578553,0.006123
111.909576,0.006137
112.241321,0.006150
112.573791,0.006164
112.906981,0.006177
113.240894,0.006190
113.575533,0.006204
113.910899,0.006217
114.246986,0.006231
114.583797,0.006244
114.921337,0.006258
115.259607,0.006271
115.598600,0.006285
115.938319,0.006298
116.278763,0.006311
116.619937,0.006325
116.961844,0.006338
117.304479,0.006352
117.647842,0.006365
117.991939,0.006379
118.336764,0.006392
118.682320,0.006406
119.028611,0.006420
119.375636,0.006434
119.723395,0.006447
120.009349,0.000370
120.030485,0.000415
120.054300,0.000470
120.081338,0.000535
120.112255,0.000614
120.147831,0.000708
120.188988,0.000821
120.236745,0.000954
120.292179,0.001106
120.356366,0.001278
120.430320,0.001468
120.514983,0.001675
120.611277,0.001898
120.720158,0.002141
120.842688,0.002405
120.980107,0.002694
121.133877,0.003012
121.305744,0.003366
121.497795,0.003762
121.712543,0.004209
121.953084,0.004721
122.223262,0.005312
122.527976,0.006006
122.873595,0.006835
123.244977,0.006911
123.620083,0.006979
123.998534,0.007041
124.380622,0.007114
124.766308,0.007173
125.155373,0.007240
125.548242,0.007310
125.944539,0.007370
126.344288,0.007437
126.747809,0.007508
127.154827,0.007568
127.565218,0.007633
127.979228,0.007703
128.396963,0.007767
128.818018,0.007829
129.242490,0.007894
129.670549,0.007962
130.102289,0.008027
130.537346,0.008088
130.975749,0.008151
131.417622,0.008216
131.863080,0.008284
132.312061,0.008345
132.764283,0.008406
133.219823,0.008468
133.678766,0.008531
134.141186,0.008597
134.607116,0.008659
135.076284,0.008719
135.548672,0.008779
136.024334,0.008840
136.503328,0.008902
136.985700,0.008965
137.471483,0.009027
137.960464,0.009084
138.452574,0.009143
138.947859,0.009202
139.446337,0.009261
139.948049,0.009322
140.453011,0.009382
140.961250,0.009443
141.472643,0.009499
141.987063,0.009555
142.504525,0.009612
143.025052,0.009668
143.548655,0.009726
144.075345,0.009783
144.605127,0.009840
145.138018,0.009898
145.673999,0.009953
146.212911,0.010007
146.754725,0.010061
147.299443,0.010115
147.847069,0.010168
148.397602,0.010223
148.951043,0.010276
149.507384,0.010330
150.066629,0.010384
150.628769,0.010437
151.193797,0.010491
151.761668,0.010542
152.332268,0.010592
152.905580,0.010643
153.481604,0.010693
154.060335,0.010743
154.641760,0.010792
155.225871,0.010842
155.812660,0.010892
156.402110,0.010941
156.994208,0.010989
157.588946,0.011038
158.186311,0.011087
158.786287,0.011136
159.388863,0.011183
159.993993,0.011230
160.601606,0.011275
161.211685,0.011321
161.824207,0.011366
162.439168,0.011411
163.056550,0.011456
163.676337,0.011500
164.298513,0.011544
164.923069,0.011588
165.549982,0.011632
166.179242,0.011675
166.810827,0.011718
167.444726,0.011760
168.080918,0.011803
168.719388,0.011845
169.360119,0.011887
170.003095,0.011928
170.648297,0.011969
171.295704,0.012010
171.945305,0.012050
172.597083,0.012090
173.251010,0.012130
173.907073,0.012169
174.565222,0.012207
175.225437,0.012246
175.887706,0.012283
176.552013,0.012321
177.218341,0.012359
177.886672,0.012395
178.556989,0.012432
179.229276,0.012469
179.903520,0.012504
180.032343,0.000502
180.061438,0.000579
180.095170,0.000675
180.134572,0.000790
180.180851,0.000930
180.235291,0.001093
180.299171,0.001280
180.373601,0.001484
180.459450,0.001702
180.557358,0.001930
180.667817,0.002166
180.791283,0.002412
180.928256,0.002667
181.079276,0.002933
181.244959,0.003210
181.425983,0.003501
181.623086,0.003807
181.837066,0.004127
182.068808,0.004465
182.319279,0.004821
182.589534,0.005198
182.880726,0.005598
183.194137,0.006022
183.531173,0.006474
183.893401,0.006957
184.282579,0.007473
184.700671,0.008029
185.149885,0.008628
185.632731,0.009276
186.152081,0.009982
186.711222,0.010753
187.313979,0.011601
187.964813,0.012538
188.659032,0.012953
189.359567,0.012993
