t_h,dt_s,est_rel,n_accept
1.416538,59.53699139,2.779158e-05,280
1.416667,0.46300861,1.666725e-08,281
1.416924,0.92601722,2.363857e-07,282
1.417438,1.85203445,5.652084e-07,283
1.418467,3.70406889,1.500579e-06,284
1.420525,7.40813779,4.040569e-06,285
1.424641,14.81627558,1.079992e-05,286
1.432611,28.69170651,2.660199e-05,287
1.433333,2.60175956,2.655903e-07,288
1.434779,5.20351912,3.927120e-06,289
1.437670,10.40703824,7.758618e-06,290
1.443451,20.81407648,1.689304e-05,291
1.450000,23.57536615,1.584868e-05,292
1.460469,37.68680768,3.237877e-05,293
1.466667,22.31319232,1.068666e-05,294
1.478733,43.43783216,4.190177e-05,295
1.483333,16.56216784,5.927703e-06,296
1.492535,33.12433569,3.917238e-05,297
1.500000,26.87566431,1.997513e-05,298
1.505315,19.13427100,2.244255e-05,299
1.512455,25.70415351,2.377230e-05,300
1.516667,15.16157550,7.464605e-06,301
1.525090,30.32315100,3.402319e-05,302
1.533333,29.67684900,2.221677e-05,303
1.544464,40.06865896,1.270002e-05,304
1.550000,19.93134104,3.006875e-06,305
1.561073,39.86268209,1.195392e-05,306
1.566667,20.13731791,3.108372e-06,307
1.577854,40.27463583,3.094986e-05,308
1.583333,19.72536417,6.701365e-06,309
1.594292,39.45072834,4.265276e-05,310
1.600000,20.54927166,1.048482e-05,311
1.611219,40.38717229,2.856148e-05,312
1.616667,19.61282771,6.641349e-06,313
1.627563,39.22565541,1.010153e-05,314
1.633333,20.77434459,2.815442e-06,315
1.639104,20.77434459,3.300052e-05,316
1.645497,23.01412549,2.843879e-05,317
1.650000,16.21152992,1.255482e-05,318
1.658088,29.11697070,2.807449e-05,319
1.666667,30.88302930,1.835790e-05,320
1.679409,45.87076205,4.324437e-05,321
1.683333,14.12923795,4.445052e-06,322
1.691183,28.25847589,2.739077e-05,323
1.700000,31.74152411,2.677968e-05,324
1.705422,19.51742909,3.174271e-05,325
1.711545,22.04591614,2.621240e-05,326
1.716667,18.43665477,1.506916e-05,327
1.725062,30.22491317,3.188455e-05,328
1.733333,29.77508683,1.995564e-05,329
1.745116,42.41776149,1.374241e-05,330
1.750000,17.58223851,2.383899e-06,331
1.759768,35.16447701,2.529664e-05,332
1.766667,24.83552299,1.104476e-05,333
1.779877,47.55789489,2.097018e-05,334
1.783333,12.44210511,1.481480e-06,335
1.790246,24.88421023,5.477655e-06,336
1.800000,35.11578977,1.015754e-05,337
1.804167,15.00000000,2.257516e-05,338
1.809748,20.09108341,2.582572e-05,339
1.816667,24.90891659,2.916654e-05,340
1.820743,14.67607448,2.080447e-05,341
1.826431,20.47666076,2.286472e-05,342
1.833333,24.84726475,2.342610e-05,343
1.842408,32.67052515,1.673235e-05,344
1.850000,27.32947485,1.052449e-05,345
1.864892,53.61154188,2.386360e-05,346
1.866667,6.38845812,4.939267e-07,347
1.870216,12.77691623,4.706345e-06,348
1.877314,25.55383247,1.097690e-05,349
1.883333,21.66925130,6.531160e-06,350
1.889353,21.66925130,2.321276e-05,351
1.897303,28.62253004,2.530940e-05,352
1.900000,9.70821866,3.051531e-06,353
1.905393,19.41643733,2.945478e-05,354
1.911718,22.76769843,2.598242e-05,355
1.916667,17.81586425,1.342149e-05,356
1.925263,30.94810326,2.589933e-05,357
1.933333,29.05189674,1.442936e-05,358
1.946853,48.67192278,1.611805e-05,359
1.950000,11.32807722,1.023784e-06,360
1.956293,22.65615444,1.432870e-05,361
1.966667,37.34384556,2.528427e-05,362
1.979795,47.26300238,3.079368e-05,363
1.983333,12.73699762,2.477735e-06,364
1.990409,25.47399524,6.364265e-06,365
2.000000,34.52600476,6.828304e-06,366
2.016667,60.00000000,8.210498e-06,367
2.025000,30.00000000,4.138562e-05,368
2.033244,29.67727579,2.998164e-05,369
2.033333,0.32272421,6.689524e-09,370
2.033513,0.64544842,2.116763e-07,371
2.033871,1.29089684,4.548373e-07,372
2.034588,2.58179369,1.082046e-06,373
2.036023,5.16358738,2.609961e-06,374
2.038891,10.32717475,6.165403e-06,375
2.044629,20.65434950,1.417113e-05,376
2.050000,19.33674942,9.721974e-06,377
2.060743,38.67349884,4.380286e-05,378
2.066667,21.32650116,1.166028e-05,379
2.072187,19.87296531,2.245822e-05,380
2.079600,26.68716691,2.410395e-05,381
2.083333,13.43986777,5.799548e-06,382
2.090800,26.87973555,1.909901e-05,383
2.100000,33.12026445,1.652733e-05,384
2.114402,51.84655551,2.891691e-05,385
2.116667,8.15344449,8.519386e-07,386
2.121196,16.30688898,1.426779e-06,387
2.130256,32.61377795,3.971803e-06,388
2.133333,11.07933307,4.758728e-07,389
2.139489,22.15866614,2.241362e-05,390
2.147762,29.78620019,2.594985e-05,391
2.150000,8.05513368,2.054986e-06,392
2.154475,16.11026735,1.840058e-05,393
2.161114,23.90091078,2.284713e-05,394
2.166667,19.98882186,1.296858e-05,395
2.171573,17.66194311,2.828963e-05,396
2.177443,21.13257145,2.594018e-05,397
2.183333,21.20548544,2.045174e-05,398
2.191622,29.84081137,4.311956e-05,399
2.199656,28.92017989,2.672232e-05,400
2.200000,1.23900874,7.038018e-08,401
2.200688,2.47801748,1.777159e-07,402
2.202065,4.95603495,5.693479e-07,403
2.204818,9.91206991,1.895690e-06,404
2.210325,19.82413981,6.313662e-06,405
2.216667,22.82973785,7.314496e-06,406
2.229350,45.65947570,3.655568e-05,407
2.233333,14.34052430,3.802899e-06,408
2.241300,28.68104860,4.132550e-05,409
2.249187,28.39314194,2.904137e-05,410
2.250000,2.92580946,3.721013e-07,411
2.251625,5.85161893,8.306704e-06,412
2.254876,11.70323786,1.735889e-05,413
2.259842,17.87609053,2.624047e-05,414
2.266011,22.20824516,3.008004e-05,415
2.266667,2.36080752,3.966861e-07,416
2.267978,4.72161504,5.205475e-06,417
2.270601,9.44323008,1.010188e-05,418
2.275848,18.88646015,2.143828e-05,419
2.283058,25.95870779,2.667427e-05,420
2.283333,0.98998695,5.256858e-08,421
2.283883,1.97997390,8.347107e-07,422
2.284983,3.95994779,1.653799e-06,423
2.287183,7.91989558,3.562263e-06,424
2.291583,15.83979116,7.760956e-06,425
2.300000,30.30039157,1.616627e-05,426
2.306661,23.97953885,4.080192e-05,427
2.313297,23.89065420,2.893008e-05,428
2.316667,12.12980694,7.179381e-06,429
2.323405,24.25961388,3.360209e-05,430
2.330804,26.63350191,2.486754e-05,431
2.333333,9.10688421,3.036585e-06,432
2.338393,18.21376841,4.401615e-06,433
2.348511,36.42753683,4.768188e-06,434
2.350000,5.35869476,1.585558e-07,435
2.352977,10.71738952,6.457378e-06,436
2.358931,21.43477904,1.439833e-05,437
2.366667,27.84783144,1.770318e-05,438
2.372517,21.06023695,2.451600e-05,439
2.380036,27.06860825,2.443858e-05,440
2.383333,11.87115480,4.642442e-06,441
2.389928,23.74230959,4.675187e-06,442
2.400000,36.25769041,7.266095e-06,443
2.416667,60.00000000,3.336265e-05,444
2.433333,60.00000000,2.262849e-05,445
2.450000,60.00000000,3.522670e-05,446
2.466667,60.00000000,2.439381e-05,447
